Organization Name,chart_family.line_chart,chart_family.bar_chart,chart_family.scatter_plot,chart_family.map,chart_family.flow_diagram,chart_family.infographic,chart_family.pie_chart,chart_family.heatmap,chart_family.dashboard_multi_view,chart_family.table,chart_family.tree_diagram,chart_family.box_plot,chart_family.area_chart,chart_family.network_graph,chart_family.timeline,chart_family.histogram,chart_family.treemap,chart_family.other,data_context.temporal_trend,data_context.categorical_comparison,data_context.geographic_spatial,data_context.composition_part_to_whole,data_context.flow_process,data_context.correlation_relationship,data_context.multivariate,data_context.distribution,data_context.hierarchical,data_context.mixed_multi_context,data_context.text_narrative,data_context.network_relational,data_context.ranking_ordered,structural_features.has_y_axis,structural_features.has_x_axis,structural_features.has_direct_labels,structural_features.axes_labeled,structural_features.has_title,structural_features.has_grid_lines,structural_features.has_legend,structural_features.multi_panel,structural_features.missing_data_present,visual_embellishments.datapoints_shapes_lines,visual_embellishments.has_text_annotations,visual_embellishments.iconography_present,visual_embellishments.photograph_present,visual_embellishments.medical_imaging_present
National Institute of Allergy and Infectious Diseases,0.08,0.08,0.0,0.0,0.17,0.17,0.0,0.08,0.0,0.0,0.17,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.17,0.17,0.08,0.0,0.33,0.0,0.0,0.0,0.17,0.0,0.08,0.0,0.0,0.25,0.33,0.75,0.17,0.42,0.08,0.17,0.08,0.0,0.5,0.25,0.33,0.08,0.08
National Institute of Health (NIH),0.18,0.3,0.02,0.12,0.07,0.07,0.07,0.01,0.02,0.04,0.06,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.34,0.19,0.13,0.08,0.07,0.02,0.02,0.01,0.06,0.02,0.03,0.02,0.0,0.52,0.53,0.64,0.53,0.53,0.5,0.36,0.12,0.02,0.43,0.41,0.26,0.03,0.01
Office of Inspector General (OIG),0.0,0.91,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.91,0.91,0.98,0.8,0.96,0.3,0.04,0.02,0.0,0.02,0.04,0.04,0.0,0.0
World Food Programme,0.06,0.06,0.0,0.5,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.11,0.0,0.0,0.0,0.06,0.0,0.17,0.06,0.56,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.5,0.39,0.78,0.33,0.94,0.28,0.67,0.33,0.06,0.5,0.61,0.61,0.06,0.0
Alzheimer's Association,0.0,0.3,0.0,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.7,0.2,0.6,0.2,0.3,0.0,0.0,0.6,0.5,0.6,0.0,0.0
National Institute of Mental Health,0.13,0.46,0.07,0.02,0.04,0.01,0.16,0.0,0.04,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.44,0.22,0.04,0.16,0.04,0.0,0.01,0.02,0.02,0.02,0.0,0.0,0.02,0.73,0.73,0.44,0.71,0.55,0.62,0.59,0.17,0.0,0.59,0.41,0.1,0.02,0.02
National Institute on Minority Health and Health Disparities,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,1.0,0.33,0.67,0.0,0.0,0.0,0.67,0.33,0.0,0.0
National Institute of Dental and Craniofacial Research,0.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.0,0.0,0.67,0.33,0.33,0.0,0.0
St. Jude Children's Research Hospital,0.27,0.09,0.05,0.18,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.05,0.27,0.09,0.36,0.14,0.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,0.36,0.55,0.36,0.55,0.45,0.0,0.0,0.45,0.59,0.27,0.0,0.0
National Institute of General Medical Sciences,0.33,0.26,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.11,0.0,0.18,0.04,0.02,0.0,0.0,0.0,0.02,0.35,0.19,0.0,0.04,0.02,0.05,0.07,0.25,0.0,0.02,0.0,0.02,0.0,0.86,0.86,0.3,0.86,0.56,0.77,0.53,0.11,0.02,0.7,0.19,0.07,0.02,0.0
Pan American Health Organization,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,1.0,0.33,1.0,0.67,0.33,0.0,0.0,0.0,0.67,0.33,0.0,0.0
National Institute of Deafness and Other Communication Disorders,0.05,0.52,0.02,0.0,0.02,0.02,0.18,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.32,0.0,0.2,0.02,0.0,0.0,0.0,0.09,0.0,0.02,0.0,0.0,0.5,0.55,0.95,0.55,0.7,0.55,0.09,0.07,0.0,0.14,0.14,0.07,0.0,0.0
Michael J. Fox Foundation for Parkinson's Research,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0
Substance Abuse and Mental Health Services Administration (SAMHSA),0.25,0.51,0.0,0.0,0.0,0.03,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.37,0.0,0.31,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.62,0.49,0.26,0.42,0.06,0.1,0.59,0.08,0.0,0.45,0.13,0.1,0.0,0.0
Providence St. Joseph Health,0.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.33,0.67,0.0,0.67,0.67,0.67,0.0,0.0
National Institute of Biomedical Imaging and Bioengineering,0.27,0.05,0.0,0.0,0.32,0.14,0.0,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.14,0.0,0.0,0.32,0.0,0.0,0.05,0.0,0.05,0.14,0.0,0.0,0.41,0.5,0.64,0.5,0.59,0.23,0.36,0.45,0.05,0.45,0.68,0.5,0.14,0.09
